first_name,last_name,email,rental_count,total_amount_spent
NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,22,94.78
JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,25,96.75
CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,18,80.82
KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,30,129.70
THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,30,99.70
BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,24,97.76
DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,27,103.73
TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,41,155.59
IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,23,77.77
JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,28,100.72
LORI,WOOD,LORI.WOOD@sakilacustomer.org,31,141.69
RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,22,84.78
MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,30,137.70
ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,22,93.78
KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,26,130.74
LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,25,101.75
SARA,PERRY,SARA.PERRY@sakilacustomer.org,33,141.67
ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,23,87.77
JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,33,148.67
WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,30,145.70
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,21,87.79
JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,32,134.68
RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,28,110.72
LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,35,113.65
TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,28,133.72
PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,23,91.77
NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,21,79.79
PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,18,77.82
DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,27,105.73
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,18,58.82
LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,25,106.75
EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,24,91.76
ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,24,102.76
PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,24,96.76
CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,33,137.67
GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,31,146.69
RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,24,92.76
DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,26,120.74
CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,23,100.77
FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,30,126.70
TRACY,COLE,TRACY.COLE@sakilacustomer.org,30,132.70
EDNA,WEST,EDNA.WEST@sakilacustomer.org,26,107.74
TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,14,59.86
CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,26,97.74
ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,30,133.70
CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,29,113.71
GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,33,139.67
WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,30,91.70
VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,27,111.73
EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,19,71.81
KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,21,82.79
SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,34,153.66
SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,32,143.68
JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,26,109.74
THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,32,126.68
SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,24,100.76
SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,18,73.82
ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,32,135.68
ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,28,117.72
ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,24,107.76
MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,32,127.68
CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,34,124.66
CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,24,93.76
MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,30,128.70
ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,28,95.72
PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,27,98.73
EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,23,94.77
JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,30,110.70
ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,15,62.85
RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,39,194.61
HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,34,110.66
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,27,113.73
EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,18,83.82
DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,32,130.68
APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,26,94.74
LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,22,89.78
CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,42,195.58
LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,28,108.72
JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,29,139.71
JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,34,127.66
ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,46,216.54
VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,26,121.74
DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,25,105.75
MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,27,92.73
ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,21,83.79
SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,24,94.76
MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,30,130.70
GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,25,109.75
BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,25,101.75
DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,31,113.69
VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,32,126.68
JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,21,68.79
ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,27,106.73
GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,30,112.70
LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,20,71.80
CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,29,122.71
JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,16,66.84
LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,21,86.79
LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,28,123.72
SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,32,119.68
REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,34,135.66
ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,22,95.78
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,26,119.74
DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,26,114.74
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,33,145.67
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,29,119.71
YVONNE,WATKINS,YVONNE.WATKINS@sakilacustomer.org,21,92.79
ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,24,98.76
JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,37,173.63
SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,23,71.77
MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,39,194.61
DANA,HART,DANA.HART@sakilacustomer.org,29,133.71
STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,23,98.77
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,34,174.66
RENEE,LANE,RENEE.LANE@sakilacustomer.org,26,97.74
IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,23,76.77
VIVIAN,RUIZ,VIVIAN.RUIZ@sakilacustomer.org,23,90.77
ROBERTA,HARPER,ROBERTA.HARPER@sakilacustomer.org,23,84.77
HOLLY,FOX,HOLLY.FOX@sakilacustomer.org,31,114.69
BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,28,159.72
MELANIE,ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,25,92.75
LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,22,93.78
YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,27,110.73
JEANETTE,GREENE,JEANETTE.GREENE@sakilacustomer.org,20,74.80
LAURIE,LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,23,99.77
KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,25,109.75
KRISTEN,CHAVEZ,KRISTEN.CHAVEZ@sakilacustomer.org,18,87.82
VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,19,86.81
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,35,151.65
SUE,PETERS,SUE.PETERS@sakilacustomer.org,40,154.60
ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,37,141.63
BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,25,103.75
JEANNE,LAWSON,JEANNE.LAWSON@sakilacustomer.org,27,136.73
VICKI,FIELDS,VICKI.FIELDS@sakilacustomer.org,25,108.75
CARLA,GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,26,103.74
TARA,RYAN,TARA.RYAN@sakilacustomer.org,20,88.80
ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,35,147.65
EILEEN,CARR,EILEEN.CARR@sakilacustomer.org,18,80.82
TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,27,126.73
GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,34,137.66
LUCY,WHEELER,LUCY.WHEELER@sakilacustomer.org,26,91.74
TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,32,161.68
ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,31,137.69
STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,34,151.66
WILMA,RICHARDS,WILMA.RICHARDS@sakilacustomer.org,20,91.80
GINA,WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,28,111.72
KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,31,116.69
JESSIE,BANKS,JESSIE.BANKS@sakilacustomer.org,26,91.74
NATALIE,MEYER,NATALIE.MEYER@sakilacustomer.org,23,95.77
AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,23,98.77
VERA,MCCOY,VERA.MCCOY@sakilacustomer.org,18,67.82
WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,26,101.74
CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,27,114.73
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,28,132.72
DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,21,91.79
MELINDA,FERNANDEZ,MELINDA.FERNANDEZ@sakilacustomer.org,17,80.83
PEARL,GARZA,PEARL.GARZA@sakilacustomer.org,22,76.78
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,26,120.74
MAUREEN,LITTLE,MAUREEN.LITTLE@sakilacustomer.org,21,87.79
COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,24,87.76
ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,27,92.73
TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,25,93.75
JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,33,124.67
GEORGIA,JACOBS,GEORGIA.JACOBS@sakilacustomer.org,26,110.74
CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,25,95.75
LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,23,89.77
CLAUDIA,FULLER,CLAUDIA.FULLER@sakilacustomer.org,26,111.74
JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,25,93.75
MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,42,175.58
TANYA,GILBERT,TANYA.GILBERT@sakilacustomer.org,33,144.67
NELLIE,GARRETT,NELLIE.GARRETT@sakilacustomer.org,21,94.79
MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,34,142.66
MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,26,117.74
HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,34,122.66
GLENDA,FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,32,140.68
LYDIA,BURKE,LYDIA.BURKE@sakilacustomer.org,24,82.76
VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,32,129.68
COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,32,132.68
MARIAN,MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,23,107.77
STELLA,MORENO,STELLA.MORENO@sakilacustomer.org,22,104.78
CAROLINE,BOWMAN,CAROLINE.BOWMAN@sakilacustomer.org,15,50.85
DORA,MEDINA,DORA.MEDINA@sakilacustomer.org,23,107.77
JO,FOWLER,JO.FOWLER@sakilacustomer.org,20,73.80
VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,31,120.69
MATTIE,HOFFMAN,MATTIE.HOFFMAN@sakilacustomer.org,22,64.78
TERRY,CARLSON,TERRY.CARLSON@sakilacustomer.org,29,127.71
MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,32,116.68
IRMA,PEARSON,IRMA.PEARSON@sakilacustomer.org,18,70.82
MABEL,HOLLAND,MABEL.HOLLAND@sakilacustomer.org,30,112.70
MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,37,151.63
MYRTLE,FLEMING,MYRTLE.FLEMING@sakilacustomer.org,24,110.76
LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,32,168.68
CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,31,122.69
DEANNA,BYRD,DEANNA.BYRD@sakilacustomer.org,26,107.74
PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,28,119.72
HILDA,HOPKINS,HILDA.HOPKINS@sakilacustomer.org,29,122.71
GWENDOLYN,MAY,GWENDOLYN.MAY@sakilacustomer.org,25,98.75
JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,29,133.71
NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,28,118.72
MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,36,159.64
NINA,SOTO,NINA.SOTO@sakilacustomer.org,29,123.71
CASSANDRA,WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,30,129.70
LEAH,CURTIS,LEAH.CURTIS@sakilacustomer.org,25,104.75
PENNY,NEAL,PENNY.NEAL@sakilacustomer.org,18,68.82
KAY,CALDWELL,KAY.CALDWELL@sakilacustomer.org,20,98.80
PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,35,157.65
NAOMI,JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,35,152.65
CAROLE,BARNETT,CAROLE.BARNETT@sakilacustomer.org,30,108.70
BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,28,122.72
OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,32,144.68
BILLIE,HORTON,BILLIE.HORTON@sakilacustomer.org,26,88.74
DIANNE,SHELTON,DIANNE.SHELTON@sakilacustomer.org,31,135.69
TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,27,118.73
LEONA,OBRIEN,LEONA.OBRIEN@sakilacustomer.org,14,50.86
JENNY,CASTRO,JENNY.CASTRO@sakilacustomer.org,27,103.73
FELICIA,SUTTON,FELICIA.SUTTON@sakilacustomer.org,28,86.72
SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,28,126.72
MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,26,135.74
VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,27,117.73
BECKY,MILES,BECKY.MILES@sakilacustomer.org,29,115.71
BOBBIE,CRAIG,BOBBIE.CRAIG@sakilacustomer.org,24,80.76
VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,30,142.70
KRISTINA,CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,28,109.72
TONI,HOLT,TONI.HOLT@sakilacustomer.org,23,95.77
MISTY,LAMBERT,MISTY.LAMBERT@sakilacustomer.org,27,118.73
MAE,FLETCHER,MAE.FLETCHER@sakilacustomer.org,31,158.69
SHELLY,WATTS,SHELLY.WATTS@sakilacustomer.org,26,113.74
DAISY,BATES,DAISY.BATES@sakilacustomer.org,38,162.62
RAMONA,HALE,RAMONA.HALE@sakilacustomer.org,30,129.70
SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,33,128.67
ERIKA,PENA,ERIKA.PENA@sakilacustomer.org,26,101.74
JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,30,131.70
JOHN,FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,31,137.69
ROBERT,BAUGHMAN,ROBERT.BAUGHMAN@sakilacustomer.org,21,92.79
MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,29,127.71
WILLIAM,SATTERFIELD,WILLIAM.SATTERFIELD@sakilacustomer.org,26,100.74
DAVID,ROYAL,DAVID.ROYAL@sakilacustomer.org,26,115.74
RICHARD,MCCRARY,RICHARD.MCCRARY@sakilacustomer.org,25,109.75
CHARLES,KOWALSKI,CHARLES.KOWALSKI@sakilacustomer.org,32,138.68
JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,30,134.70
THOMAS,GRIGSBY,THOMAS.GRIGSBY@sakilacustomer.org,25,105.75
CHRISTOPHER,GRECO,CHRISTOPHER.GRECO@sakilacustomer.org,31,147.69
DANIEL,CABRAL,DANIEL.CABRAL@sakilacustomer.org,20,97.80
PAUL,TROUT,PAUL.TROUT@sakilacustomer.org,23,120.77
MARK,RINEHART,MARK.RINEHART@sakilacustomer.org,26,104.74
DONALD,MAHON,DONALD.MAHON@sakilacustomer.org,23,89.77
GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,33,131.67
KENNETH,GOODEN,KENNETH.GOODEN@sakilacustomer.org,17,84.83
STEVEN,CURLEY,STEVEN.CURLEY@sakilacustomer.org,29,132.71
EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,28,114.72
BRIAN,WYMAN,BRIAN.WYMAN@sakilacustomer.org,12,52.88
RONALD,WEINER,RONALD.WEINER@sakilacustomer.org,30,132.70
ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,20,71.80
KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,22,116.78
JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,28,128.72
MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,31,114.69
GARY,COY,GARY.COY@sakilacustomer.org,25,103.75
TIMOTHY,BUNN,TIMOTHY.BUNN@sakilacustomer.org,22,91.78
JOSE,ANDREW,JOSE.ANDREW@sakilacustomer.org,25,96.75
LARRY,THRASHER,LARRY.THRASHER@sakilacustomer.org,26,112.74
JEFFREY,SPEAR,JEFFREY.SPEAR@sakilacustomer.org,23,90.77
FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,32,127.68
SCOTT,SHELLEY,SCOTT.SHELLEY@sakilacustomer.org,25,94.75
ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,27,122.73
STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,28,118.72
ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,27,109.73
RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,30,135.70
GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,23,78.77
JOSHUA,MARK,JOSHUA.MARK@sakilacustomer.org,30,119.70
JERRY,JORDON,JERRY.JORDON@sakilacustomer.org,29,143.71
DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,28,114.72
WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,30,127.70
PATRICK,NEWSOM,PATRICK.NEWSOM@sakilacustomer.org,31,119.69
PETER,MENARD,PETER.MENARD@sakilacustomer.org,23,106.77
HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,32,130.68
DOUGLAS,GRAF,DOUGLAS.GRAF@sakilacustomer.org,25,114.75
HENRY,BILLINGSLEY,HENRY.BILLINGSLEY@sakilacustomer.org,18,73.82
CARL,ARTIS,CARL.ARTIS@sakilacustomer.org,23,106.77
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,32,155.68
RYAN,SALISBURY,RYAN.SALISBURY@sakilacustomer.org,30,142.70
ROGER,QUINTANILLA,ROGER.QUINTANILLA@sakilacustomer.org,36,146.64
JOE,GILLILAND,JOE.GILLILAND@sakilacustomer.org,29,138.71
JUAN,FRALEY,JUAN.FRALEY@sakilacustomer.org,23,73.77
JACK,FOUST,JACK.FOUST@sakilacustomer.org,24,89.76
ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,23,99.77
