first_name,last_name,email,rental_count,total_paid,avg_payment_per_rental
KENT,ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,27,134.73,4.99
JERRY,JORDON,JERRY.JORDON@sakilacustomer.org,29,143.71,4.96
ROY,WHITING,ROY.WHITING@sakilacustomer.org,29,143.71,4.96
CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,27,133.73,4.95
FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,22,108.78,4.94
KAY,CALDWELL,KAY.CALDWELL@sakilacustomer.org,20,98.80,4.94
ANTONIO,MEEK,ANTONIO.MEEK@sakilacustomer.org,16,78.84,4.93
VERNON,CHAPA,VERNON.CHAPA@sakilacustomer.org,18,88.82,4.93
KARL,SEAL,KARL.SEAL@sakilacustomer.org,45,221.55,4.92
TOMMY,COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,38,186.62,4.91
SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,24,117.76,4.91
PERRY,SWAFFORD,PERRY.SWAFFORD@sakilacustomer.org,24,117.76,4.91
BRENT,HARKINS,BRENT.HARKINS@sakilacustomer.org,23,112.77,4.90
DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,29,141.71,4.89
DANIEL,CABRAL,DANIEL.CABRAL@sakilacustomer.org,20,97.80,4.89
KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,27,131.73,4.88
KRISTEN,CHAVEZ,KRISTEN.CHAVEZ@sakilacustomer.org,18,87.82,4.88
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,32,155.68,4.87
WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,30,145.70,4.86
CALVIN,MARTEL,CALVIN.MARTEL@sakilacustomer.org,23,111.77,4.86
DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,35,169.65,4.85
JIMMIE,EGGLESTON,JIMMIE.EGGLESTON@sakilacustomer.org,28,135.72,4.85
WARREN,SHERROD,WARREN.SHERROD@sakilacustomer.org,33,159.67,4.84
EDUARDO,HIATT,EDUARDO.HIATT@sakilacustomer.org,27,130.73,4.84
JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,29,139.71,4.82
TROY,QUIGLEY,TROY.QUIGLEY@sakilacustomer.org,30,144.70,4.82
ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,29,139.71,4.82
ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,26,124.74,4.80
DUANE,TUBBS,DUANE.TUBBS@sakilacustomer.org,31,148.69,4.80
TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,28,133.72,4.78
JOE,GILLILAND,JOE.GILLILAND@sakilacustomer.org,29,138.71,4.78
JESUS,MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org,24,114.76,4.78
MAURICE,CRAWLEY,MAURICE.CRAWLEY@sakilacustomer.org,29,138.71,4.78
NATHANIEL,ADAM,NATHANIEL.ADAM@sakilacustomer.org,28,133.72,4.78
PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,27,128.73,4.77
EDDIE,TOMLIN,EDDIE.TOMLIN@sakilacustomer.org,27,128.73,4.77
NEIL,RENNER,NEIL.RENNER@sakilacustomer.org,32,152.68,4.77
STELLA,MORENO,STELLA.MORENO@sakilacustomer.org,22,104.78,4.76
VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,30,142.70,4.76
CHRISTOPHER,GRECO,CHRISTOPHER.GRECO@sakilacustomer.org,31,147.69,4.76
RYAN,SALISBURY,RYAN.SALISBURY@sakilacustomer.org,30,142.70,4.76
MIKE,WAY,MIKE.WAY@sakilacustomer.org,35,166.65,4.76
STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,25,118.75,4.75
MELINDA,FERNANDEZ,MELINDA.FERNANDEZ@sakilacustomer.org,17,80.83,4.75
RICARDO,MEADOR,RICARDO.MEADOR@sakilacustomer.org,21,99.79,4.75
JAMIE,WAUGH,JAMIE.WAUGH@sakilacustomer.org,25,118.75,4.75
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,28,132.72,4.74
JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,27,127.73,4.73
GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,31,146.69,4.73
ZACHARY,HITE,ZACHARY.HITE@sakilacustomer.org,31,146.69,4.73
ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,22,103.78,4.72
GREG,ROBINS,GREG.ROBINS@sakilacustomer.org,30,141.70,4.72
BEN,EASTER,BEN.EASTER@sakilacustomer.org,26,122.74,4.72
ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,46,216.54,4.71
FERNANDO,CHURCHILL,FERNANDO.CHURCHILL@sakilacustomer.org,25,117.75,4.71
DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,98.79,4.70
TYRONE,ASHER,TYRONE.ASHER@sakilacustomer.org,24,112.76,4.70
JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,37,173.63,4.69
TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,27,126.73,4.69
MARIAN,MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,23,107.77,4.69
DORA,MEDINA,DORA.MEDINA@sakilacustomer.org,23,107.77,4.69
BRADLEY,MOTLEY,BRADLEY.MOTLEY@sakilacustomer.org,27,126.73,4.69
VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,26,121.74,4.68
MIGUEL,BETANCOURT,MIGUEL.BETANCOURT@sakilacustomer.org,29,135.71,4.68
JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,28,130.72,4.67
STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,34,158.66,4.67
EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,18,83.82,4.66
CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,42,195.58,4.66
STANLEY,SCROGGINS,STANLEY.SCROGGINS@sakilacustomer.org,30,139.70,4.66
ROBERTO,VU,ROBERTO.VU@sakilacustomer.org,30,139.70,4.66
RAFAEL,ABNEY,RAFAEL.ABNEY@sakilacustomer.org,21,97.79,4.66
DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,26,120.74,4.64
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,26,120.74,4.64
PETER,MENARD,PETER.MENARD@sakilacustomer.org,23,106.77,4.64
CARL,ARTIS,CARL.ARTIS@sakilacustomer.org,23,106.77,4.64
CARLOS,COUGHLIN,CARLOS.COUGHLIN@sakilacustomer.org,23,106.77,4.64
ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,26,120.74,4.64
CHARLIE,BESS,CHARLIE.BESS@sakilacustomer.org,26,120.74,4.64
ADAM,GOOCH,ADAM.GOOCH@sakilacustomer.org,22,101.78,4.63
SHAWN,HEATON,SHAWN.HEATON@sakilacustomer.org,33,152.67,4.63
COREY,HAUSER,COREY.HAUSER@sakilacustomer.org,22,101.78,4.63
GILBERT,SLEDGE,GILBERT.SLEDGE@sakilacustomer.org,28,129.72,4.63
DWAYNE,OLVERA,DWAYNE.OLVERA@sakilacustomer.org,22,101.78,4.63
TRACY,HERRMANN,TRACY.HERRMANN@sakilacustomer.org,28,129.72,4.63
MYRTLE,FLEMING,MYRTLE.FLEMING@sakilacustomer.org,24,110.76,4.62
LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,35,161.65,4.62
AARON,SELBY,AARON.SELBY@sakilacustomer.org,24,110.76,4.62
JEROME,KENYON,JEROME.KENYON@sakilacustomer.org,16,73.84,4.62
RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,27,124.73,4.62
JARED,ELY,JARED.ELY@sakilacustomer.org,19,87.81,4.62
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,26,119.74,4.61
DANA,HART,DANA.HART@sakilacustomer.org,29,133.71,4.61
JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,29,133.71,4.61
HECTOR,POINDEXTER,HECTOR.POINDEXTER@sakilacustomer.org,26,119.74,4.61
MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,33,151.67,4.60
JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,28,128.72,4.60
ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,33,151.67,4.60
MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,30,137.70,4.59
WILMA,RICHARDS,WILMA.RICHARDS@sakilacustomer.org,20,91.80,4.59
DOUGLAS,GRAF,DOUGLAS.GRAF@sakilacustomer.org,25,114.75,4.59
DORIS,REED,DORIS.REED@sakilacustomer.org,22,100.78,4.58
STEVEN,CURLEY,STEVEN.CURLEY@sakilacustomer.org,29,132.71,4.58
LORI,WOOD,LORI.WOOD@sakilacustomer.org,31,141.69,4.57
VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,19,86.81,4.57
LEWIS,LYMAN,LEWIS.LYMAN@sakilacustomer.org,19,86.81,4.57
RODNEY,MOELLER,RODNEY.MOELLER@sakilacustomer.org,23,104.77,4.56
LEO,EBERT,LEO.EBERT@sakilacustomer.org,23,104.77,4.56
ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,27,122.73,4.55
NICHOLAS,BARFIELD,NICHOLAS.BARFIELD@sakilacustomer.org,32,145.68,4.55
ANDY,VANHORN,ANDY.VANHORN@sakilacustomer.org,25,113.75,4.55
KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,22,99.78,4.54
RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,31,140.69,4.54
MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,26,117.74,4.53
SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,28,126.72,4.53
ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,28,126.72,4.53
DARREN,WINDHAM,DARREN.WINDHAM@sakilacustomer.org,24,108.76,4.53
ANN,EVANS,ANN.EVANS@sakilacustomer.org,17,76.83,4.52
GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,30,135.70,4.52
SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,34,153.66,4.52
OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,32,144.68,4.52
RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,30,135.70,4.52
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,25,112.75,4.51
JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,33,148.67,4.51
NELLIE,GARRETT,NELLIE.GARRETT@sakilacustomer.org,21,94.79,4.51
BRUCE,SCHWARZ,BRUCE.SCHWARZ@sakilacustomer.org,23,103.77,4.51
RON,DELUCA,RON.DELUCA@sakilacustomer.org,23,103.77,4.51
SETH,HANNON,SETH.HANNON@sakilacustomer.org,25,112.75,4.51
PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,35,157.65,4.50
HARRY,ARCE,HARRY.ARCE@sakilacustomer.org,35,157.65,4.50
TIM,CARY,TIM.CARY@sakilacustomer.org,39,175.61,4.50
JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,34,152.66,4.49
CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,18,80.82,4.49
SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,32,143.68,4.49
ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,24,107.76,4.49
EILEEN,CARR,EILEEN.CARR@sakilacustomer.org,18,80.82,4.49
JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,30,134.70,4.49
FRANCISCO,SKIDMORE,FRANCISCO.SKIDMORE@sakilacustomer.org,22,98.78,4.49
CODY,NOLEN,CODY.NOLEN@sakilacustomer.org,22,98.78,4.49
MAX,PITT,MAX.PITT@sakilacustomer.org,24,107.76,4.49
CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,25,111.75,4.47
ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,30,133.70,4.46
STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,34,151.66,4.46
LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,24,106.76,4.45
MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,35,155.65,4.45
DAVID,ROYAL,DAVID.ROYAL@sakilacustomer.org,26,115.74,4.45
BRYAN,HARDISON,BRYAN.HARDISON@sakilacustomer.org,28,124.72,4.45
CECIL,VINES,CECIL.VINES@sakilacustomer.org,26,115.74,4.45
TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,29,128.71,4.44
TARA,RYAN,TARA.RYAN@sakilacustomer.org,20,88.80,4.44
ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,31,137.69,4.44
JOHN,FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,31,137.69,4.44
WESLEY,BULL,WESLEY.BULL@sakilacustomer.org,40,177.60,4.44
MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,36,159.64,4.43
RALPH,MADRIGAL,RALPH.MADRIGAL@sakilacustomer.org,34,150.66,4.43
TRAVIS,ESTEP,TRAVIS.ESTEP@sakilacustomer.org,25,110.75,4.43
LEE,HAWKS,LEE.HAWKS@sakilacustomer.org,27,119.73,4.43
TRACY,COLE,TRACY.COLE@sakilacustomer.org,30,132.70,4.42
LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,28,123.72,4.42
YVONNE,WATKINS,YVONNE.WATKINS@sakilacustomer.org,21,92.79,4.42
ROBERT,BAUGHMAN,ROBERT.BAUGHMAN@sakilacustomer.org,21,92.79,4.42
RONALD,WEINER,RONALD.WEINER@sakilacustomer.org,30,132.70,4.42
JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,30,132.70,4.42
MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,26,114.74,4.41
DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,26,114.74,4.41
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,33,145.67,4.41
BRIAN,WYMAN,BRIAN.WYMAN@sakilacustomer.org,12,52.88,4.41
CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,38,167.62,4.41
AUSTIN,CINTRON,AUSTIN.CINTRON@sakilacustomer.org,19,83.81,4.41
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,29,127.71,4.40
GLENDA,FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,32,140.68,4.40
TERRY,CARLSON,TERRY.CARLSON@sakilacustomer.org,29,127.71,4.40
TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,27,118.73,4.40
MISTY,LAMBERT,MISTY.LAMBERT@sakilacustomer.org,27,118.73,4.40
MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,29,127.71,4.40
DWIGHT,LOMBARDI,DWIGHT.LOMBARDI@sakilacustomer.org,17,74.83,4.40
WILLARD,LUMPKIN,WILLARD.LUMPKIN@sakilacustomer.org,22,96.78,4.40
GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,25,109.75,4.39
KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,25,109.75,4.39
JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,30,131.70,4.39
RICHARD,MCCRARY,RICHARD.MCCRARY@sakilacustomer.org,25,109.75,4.39
LEON,BOSTIC,LEON.BOSTIC@sakilacustomer.org,25,109.75,4.39
WALLACE,SLONE,WALLACE.SLONE@sakilacustomer.org,25,109.75,4.39
CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,23,100.77,4.38
TANYA,GILBERT,TANYA.GILBERT@sakilacustomer.org,33,144.67,4.38
BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,28,122.72,4.38
DIANNE,SHELTON,DIANNE.SHELTON@sakilacustomer.org,31,135.69,4.38
ANNA,HILL,ANNA.HILL@sakilacustomer.org,21,91.79,4.37
DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,21,91.79,4.37
SHELLY,WATTS,SHELLY.WATTS@sakilacustomer.org,26,113.74,4.37
DANNY,ISOM,DANNY.ISOM@sakilacustomer.org,21,91.79,4.37
GLEN,TALBERT,GLEN.TALBERT@sakilacustomer.org,26,113.74,4.37
JAIME,NETTLES,JAIME.NETTLES@sakilacustomer.org,29,126.71,4.37
ISAAC,OGLESBY,ISAAC.OGLESBY@sakilacustomer.org,29,126.71,4.37
RENE,MCALISTER,RENE.MCALISTER@sakilacustomer.org,26,113.74,4.37
MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,30,130.70,4.36
NAOMI,JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,35,152.65,4.36
VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,27,117.73,4.36
LESLIE,SEWARD,LESLIE.SEWARD@sakilacustomer.org,35,152.65,4.36
CLIFTON,MALCOLM,CLIFTON.MALCOLM@sakilacustomer.org,27,117.73,4.36
ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,22,95.78,4.35
VICKI,FIELDS,VICKI.FIELDS@sakilacustomer.org,25,108.75,4.35
DERRICK,BOURQUE,DERRICK.BOURQUE@sakilacustomer.org,22,95.78,4.35
SHANE,MILLARD,SHANE.MILLARD@sakilacustomer.org,22,95.78,4.35
SIDNEY,BURLESON,SIDNEY.BURLESON@sakilacustomer.org,25,108.75,4.35
LAURIE,LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,23,99.77,4.34
LARRY,THRASHER,LARRY.THRASHER@sakilacustomer.org,26,112.74,4.34
ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,23,99.77,4.34
RANDALL,NEUMANN,RANDALL.NEUMANN@sakilacustomer.org,23,99.77,4.34
KURT,EMMONS,KURT.EMMONS@sakilacustomer.org,23,99.77,4.34
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,35,151.65,4.33
CHARLES,KOWALSKI,CHARLES.KOWALSKI@sakilacustomer.org,32,138.68,4.33
KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,30,129.70,4.32
PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,18,77.82,4.32
CASSANDRA,WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,30,129.70,4.32
RAMONA,HALE,RAMONA.HALE@sakilacustomer.org,30,129.70,4.32
PEDRO,CHESTNUT,PEDRO.CHESTNUT@sakilacustomer.org,24,103.76,4.32
HUGH,WALDROP,HUGH.WALDROP@sakilacustomer.org,21,90.79,4.32
SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,30,129.70,4.32
NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,22,94.78,4.31
CLAUDIA,FULLER,CLAUDIA.FULLER@sakilacustomer.org,26,111.74,4.30
GABRIEL,HARDER,GABRIEL.HARDER@sakilacustomer.org,26,111.74,4.30
JEAN,BELL,JEAN.BELL@sakilacustomer.org,27,115.73,4.29
SARA,PERRY,SARA.PERRY@sakilacustomer.org,33,141.67,4.29
MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,30,128.70,4.29
STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,23,98.77,4.29
AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,23,98.77,4.29
JESSIE,MILAM,JESSIE.MILAM@sakilacustomer.org,33,141.67,4.29
ALFREDO,MCADAMS,ALFREDO.MCADAMS@sakilacustomer.org,20,85.80,4.29
ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,24,102.76,4.28
TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,14,59.86,4.28
PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,28,119.72,4.28
DAISY,BATES,DAISY.BATES@sakilacustomer.org,38,162.62,4.28
BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,35,149.65,4.28
RUBEN,GEARY,RUBEN.GEARY@sakilacustomer.org,21,89.79,4.28
JULIO,NOLAND,JULIO.NOLAND@sakilacustomer.org,21,89.79,4.28
LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,25,106.75,4.27
NINA,SOTO,NINA.SOTO@sakilacustomer.org,29,123.71,4.27
ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,22,93.78,4.26
LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,22,93.78,4.26
GEORGIA,JACOBS,GEORGIA.JACOBS@sakilacustomer.org,26,110.74,4.26
WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,30,127.70,4.26
HARVEY,GUAJARDO,HARVEY.GUAJARDO@sakilacustomer.org,22,93.78,4.26
JANICE,WARD,JANICE.WARD@sakilacustomer.org,34,144.66,4.25
CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,27,114.73,4.25
SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,28,118.72,4.24
ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,32,135.68,4.24
NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,28,118.72,4.24
STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,28,118.72,4.24
JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,32,135.68,4.24
GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,33,139.67,4.23
DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,25,105.75,4.23
CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,29,122.71,4.23
HILDA,HOPKINS,HILDA.HOPKINS@sakilacustomer.org,29,122.71,4.23
THOMAS,GRIGSBY,THOMAS.GRIGSBY@sakilacustomer.org,25,105.75,4.23
VINCENT,RALSTON,VINCENT.RALSTON@sakilacustomer.org,25,105.75,4.23
TYLER,WREN,TYLER.WREN@sakilacustomer.org,21,88.79,4.23
BRAD,MCCURDY,BRAD.MCCURDY@sakilacustomer.org,25,105.75,4.23
FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,30,126.70,4.22
JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,26,109.74,4.22
ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,35,147.65,4.22
HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,32,134.68,4.21
JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,32,134.68,4.21
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,27,113.73,4.21
ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,36,151.64,4.21
MITCHELL,WESTMORELAND,MITCHELL.WESTMORELAND@sakilacustomer.org,32,134.68,4.21
DAVE,GARDINER,DAVE.GARDINER@sakilacustomer.org,32,134.68,4.21
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,28,117.72,4.20
CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,34,142.66,4.20
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,33,138.67,4.20
KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,14,58.86,4.20
SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,24,100.76,4.20
ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,28,117.72,4.20
MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,34,142.66,4.20
ALLAN,CORNISH,ALLAN.CORNISH@sakilacustomer.org,19,79.81,4.20
ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,15,62.85,4.19
LEAH,CURTIS,LEAH.CURTIS@sakilacustomer.org,25,104.75,4.19
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,21,87.79,4.18
JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,16,66.84,4.18
MAUREEN,LITTLE,MAUREEN.LITTLE@sakilacustomer.org,21,87.79,4.18
MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,42,175.58,4.18
DALE,RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,27,112.73,4.18
SERGIO,STANFIELD,SERGIO.STANFIELD@sakilacustomer.org,26,108.74,4.18
CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,91.78,4.17
CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,33,137.67,4.17
TIMOTHY,BUNN,TIMOTHY.BUNN@sakilacustomer.org,22,91.78,4.17
CASEY,MENA,CASEY.MENA@sakilacustomer.org,34,141.66,4.17
PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,23,95.77,4.16
CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,24,99.76,4.16
NATALIE,MEYER,NATALIE.MEYER@sakilacustomer.org,23,95.77,4.16
TONI,HOLT,TONI.HOLT@sakilacustomer.org,23,95.77,4.16
